      1081 5.405000e-03     6.69030546564305695e+00
      1101 5.505000e-03     6.81843127127417237e+00
      1121 5.605000e-03     6.89534631667592279e+00
      1141 5.705000e-03     7.05272073984416625e+00
      1161 5.805000e-03     7.18982852226832847e+00
      1181 5.905000e-03     7.37789257488910444e+00
      1201 6.005000e-03     7.47229011245093755e+00
      1221 6.105000e-03     7.54074179359589802e+00
      1241 6.205000e-03     7.68112448757900168e+00
      1261 6.305000e-03     7.90148573146691291e+00
      1281 6.405000e-03     8.11346334397453184e+00
      1301 6.505000e-03     8.25621489989233659e+00
      1321 6.605000e-03     8.31699348920626136e+00
      1341 6.705000e-03     8.38863890659465206e+00
      1361 6.805000e-03     8.46956540080806164e+00
      1381 6.905000e-03     8.62267843454085003e+00
      1401 7.005000e-03     8.93469291599529214e+00
      1421 7.105000e-03     9.43851108320282783e+00
      1441 7.205000e-03     1.00080169521982079e+01
      1461 7.305000e-03     1.00758446950969525e+01
      1481 7.405000e-03     9.41511938732575437e+00
      1501 7.505000e-03     9.30474326924488970e+00
      1521 7.605000e-03     9.66588515104446877e+00
      1541 7.705000e-03     1.01517916814439619e+01
      1561 7.805000e-03     1.06890010960110011e+01
      1581 7.905000e-03     1.02443431488585670e+01
      1601 8.005000e-03     1.01097691830626015e+01
      1621 8.105000e-03     1.03380359506099726e+01
      1641 8.205000e-03     1.07178191500614517e+01
      1661 8.305000e-03     1.11448908172200305e+01
      1681 8.405000e-03     1.15157120733641669e+01
      1701 8.505000e-03     1.17074184199111588e+01
      1721 8.605000e-03     1.15922196578395003e+01
      1741 8.705000e-03     1.09578050578784776e+01
      1761 8.805000e-03     1.09894788832188013e+01
      1781 8.905000e-03     1.13177051491650857e+01
      1801 9.005000e-03     1.18565010140554712e+01
      1821 9.105000e-03     1.23298901567456696e+01
      1841 9.205000e-03     1.29400236678163250e+01
      1861 9.305000e-03     1.31350999243393005e+01
      1881 9.405000e-03     1.31762512554121543e+01
      1901 9.505000e-03     1.27872616610433933e+01
      1921 9.605000e-03     1.26517490363341523e+01
      1941 9.705000e-03     1.26166917116538020e+01
      1961 9.805000e-03     1.27249667696836184e+01
      1981 9.905000e-03     1.30082203710379343e+01
      2001 1.000500e-02     1.31677002366277218e+01
      2021 1.010500e-02     1.32868200114552515e+01
      2041 1.020500e-02     1.34433869763556153e+01
      2061 1.030500e-02     1.34892387228755393e+01
      2081 1.040500e-02     1.34037433326712350e+01
      2101 1.050500e-02     1.35624314083020625e+01
      2121 1.060500e-02     1.36828005997169946e+01
      2141 1.070500e-02     1.38621018064561614e+01
      2161 1.080500e-02     1.40619143253881784e+01
      2181 1.090500e-02     1.41049124885447608e+01
      2201 1.100500e-02     1.41524054436412996e+01
      2221 1.110500e-02     1.43341206076307497e+01
      2241 1.120500e-02     1.44926811183613360e+01
      2261 1.130500e-02     1.47215204864695401e+01
      2281 1.140500e-02     1.50216857186053492e+01
      2301 1.150500e-02     1.51372978190562950e+01
      2321 1.160500e-02     1.52042353507397667e+01
      2341 1.170500e-02     1.50878291420793946e+01
      2361 1.180500e-02     1.48786896279162058e+01
      2381 1.190500e-02     1.47988978838726446e+01
      2401 1.200500e-02     1.49234173422883032e+01
      2421 1.210500e-02     1.50490916089533204e+01
      2441 1.220500e-02     1.50435471715674076e+01
      2461 1.230500e-02     1.50232134212596815e+01
      2481 1.240500e-02     1.49577127788516027e+01
      2501 1.250500e-02     1.49931607066945940e+01
      2521 1.260500e-02     1.51913816873215879e+01
      2541 1.270500e-02     1.54890527820018136e+01
      2561 1.280500e-02     1.57201352239370209e+01
      2581 1.290500e-02     1.58512365139261799e+01
      2601 1.300500e-02     1.58980312873642493e+01
      2621 1.310500e-02     1.59249907681738954e+01
      2641 1.320500e-02     1.59602290749712097e+01
      2661 1.330500e-02     1.59807601924200799e+01
      2681 1.340500e-02     1.59730552175959168e+01
      2701 1.350500e-02     1.59772446768686773e+01
      2721 1.360500e-02     1.59837915914077868e+01
      2741 1.370500e-02     1.59852543009924997e+01
      2761 1.380500e-02     1.59982589821522367e+01
      2781 1.390500e-02     1.60685591995110393e+01
      2801 1.400500e-02     1.61878322709612661e+01
      2821 1.410500e-02     1.63268402105732058e+01
      2841 1.420500e-02     1.64520603769037059e+01
      2861 1.430500e-02     1.65353984591284444e+01
