x-coordinate,y-coordinate
3.872117867023361359e-02,3.362370829580224596e-02
3.866931565330310183e-02,3.368324740631738201e-02
3.861738423510078372e-02,3.374272699349348259e-02
3.856541397686625433e-02,3.380217257129482233e-02
3.851331303131320244e-02,3.386150358282368628e-02
3.846111236404282929e-02,3.392074700617548483e-02
3.840885561683132776e-02,3.397994088705296595e-02
3.835650880369177729e-02,3.403905518483678339e-02
3.830403574624829943e-02,3.409805738297543715e-02
3.825145209129193757e-02,3.415696107527212144e-02
3.819883653596941459e-02,3.421583632465007019e-02
3.814613852747881367e-02,3.427463766134958290e-02
3.809330691163057697e-02,3.433331908094134494e-02
3.804038191331723939e-02,3.439191628402025330e-02
3.798737232772225053e-02,3.445043695737770584e-02
3.793426560948390258e-02,3.450886950953207383e-02
3.788105245858248982e-02,3.456720508903937672e-02
3.782778975073863154e-02,3.462549554570149013e-02
3.777448063230860048e-02,3.468374349022389225e-02
3.772101727229169865e-02,3.474184980318015953e-02
3.766744515859338227e-02,3.479985605953896111e-02
3.761381970909154909e-02,3.485781288757200391e-02
3.756010276017948679e-02,3.491568493553812852e-02
3.750628259264318642e-02,3.497346101013368985e-02
3.745237598292167069e-02,3.503115643577900395e-02
3.739841081552382901e-02,3.508879715578490377e-02
3.734434382939759434e-02,3.514634224967130155e-02
3.729015854804156038e-02,3.520377605966963641e-02
4.792126089109158271e-02,1.825660199792554853e-02
4.794928910619559309e-02,1.818278393485022598e-02
4.789311484306243288e-02,1.833037517984747664e-02
4.786482528113861906e-02,1.840409348485559995e-02
4.783640273566207995e-02,1.847776060965369144e-02
4.780787401451917079e-02,1.855138665140603979e-02
4.777926740571244307e-02,1.862498250208930589e-02
4.775058017045250708e-02,1.869854701101437283e-02
4.772171018295615769e-02,1.877203981350130876e-02
4.769270008943871098e-02,1.884547760617618153e-02
4.766367136870856142e-02,1.891890804361343742e-02
4.763447625364319871e-02,1.899227225001322641e-02
4.760512850940105956e-02,1.906557578392504768e-02
4.757576454516530134e-02,1.913887280445233235e-02
4.754623588522011168e-02,1.921210339862888458e-02
4.751655339966607411e-02,1.928527202592383513e-02
4.748685254732013666e-02,1.935843316284413182e-02
4.745700090707023061e-02,1.943153274166475875e-02
4.742697454727403533e-02,1.950456090890441418e-02
4.739687167931713047e-02,1.957755750460093286e-02
4.736669114567985256e-02,1.965052201073596433e-02
4.733640050822742612e-02,1.972344088887046862e-02
4.730597386944701555e-02,1.979630312322365471e-02
4.727543251354223569e-02,1.986911734619176834e-02
4.724479060912532835e-02,1.994188931752078828e-02
4.721403751831056150e-02,2.001461439610899978e-02
4.718313519874109407e-02,2.008727609889533056e-02
