# Forces               
# CofR                 : (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)
# Time                 forces(pressure viscous porous)	moments(pressure viscous porous)
0.0873000              	((-2.306232823305919e+00 -1.052560522977268e+02 -1.444039439385431e-17) (-2.741934556081167e+00 3.643889786262262e-02 9.348434822956914e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-2.017685900213505e-20 -6.204443412447296e-21 6.555926124853963e-02) (7.197121870183084e-20 2.554669552653241e-19 2.027703305104503e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873000              	((-2.306213437284059e+00 -1.052552207669662e+02 -3.551887027881617e-18) (-2.741917662639461e+00 3.643867269598475e-02 2.781538850851097e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-9.696531191194559e-21 -2.568379239254358e-21 6.555886318243766e-02) (2.051555776930644e-19 1.994042368411803e-19 2.027690623400781e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873000              	((-2.306291422184131e+00 -1.052586718168580e+02 -3.990843412537461e-18) (-2.741979956066029e+00 3.644153648514304e-02 -8.908347610784418e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-5.943973921381657e-21 7.263327213988161e-22 6.556100584415288e-02) (-6.578567641103947e-20 -1.125156914255794e-19 2.027737137804319e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873000              	((-2.306233833539076e+00 -1.052563420840339e+02 -3.209141416086628e-18) (-2.741936475856675e+00 3.644082408485241e-02 2.310773521703159e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((5.940069446125910e-22 -3.517589607352711e-22 6.555976128758507e-02) (1.622693731307631e-19 -1.211321571612518e-19 2.027704558037217e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873000              	((-2.306234282980455e+00 -1.052563624817544e+02 -1.420275920405898e-18) (-2.741937464221648e+00 3.644069974118617e-02 1.806194996035248e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-5.365235820583837e-22 6.862429147142388e-23 6.555978457851831e-02) (1.343969128434115e-19 1.812659314247968e-19 2.027705210160400e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873000              	((-2.306234282980455e+00 -1.052563624817544e+02 -1.420275920405898e-18) (-2.741937464221648e+00 3.644069974118617e-02 1.806194996035248e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-5.365235820583837e-22 6.862429147142388e-23 6.555978457851831e-02) (1.343969128434115e-19 1.812659314247968e-19 2.027705210160400e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873500              	((-2.307534556600038e+00 -1.052597296560969e+02 -7.080970296390002e-19) (-2.741285311322833e+00 3.644441951792547e-02 -1.312332643379115e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.118504466080124e-20 8.316300006202392e-22 6.557315291603555e-02) (-9.656429788181987e-20 -1.199337263898429e-19 2.027230395364782e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873500              	((-2.307548071980515e+00 -1.052602850761576e+02 -5.815740935122099e-18) (-2.741295484555812e+00 3.644439818492197e-02 -8.701319406156233e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((6.396481958827014e-21 -2.466212026513701e-21 6.557339475623300e-02) (-6.444761910372355e-20 -1.289048646159178e-19 2.027238092212399e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873500              	((-2.307479704510864e+00 -1.052570418594146e+02 1.033706661659459e-18) (-2.741231865363868e+00 3.644137300782752e-02 -2.145592110183999e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-2.314136057476219e-21 5.468863788833403e-22 6.557125263132217e-02) (-1.297110427048611e-20 6.846975850224825e-20 2.027191117047923e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873500              	((-2.307535504778826e+00 -1.052590908199445e+02 -8.780284190870834e-18) (-2.741270664650985e+00 3.644192276296194e-02 4.554647984647012e-18) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-1.045775068889072e-20 -2.335561743295598e-21 6.557237130287723e-02) (5.646058419940059e-21 9.143164542922795e-20 2.027220556079361e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
