Time F_xx F_xy F_xz F_yx F_yy F_yz F_zx F_zy F_zz sigma_xx sigma_yy sigma_zz sigma_xy sigma_yz sigma_zx meanLamellarSpacing mean_eq_strain_ferr mean_eq_strain_cem
13.531999999999993 1.16475216151008 -0.036162484834764384 0.015139281292437594 0.00019975979938721558 0.927713471007592 0.00046024552424329886 -8.04282888604728e-05 -0.0014130069979311154 0.924988935910492 530438123.6991199 -369790285.6977915 -417637022.07729226 -2253232.734735047 -41534111.81319791 -41534111.81319791 79.88356366351717 0.16494721441875757 0.08844489574624355
13.730999999999993 1.16478563150714 -0.03660426604502268 0.015314572863630794 0.0004372475816724834 0.927834065745086 0.00030076457217674893 -0.00017094749937447972 -0.0015368019563449554 0.924943705007661 548534889.6912445 -334842162.4322398 -411174087.6519395 -22781903.025968473 -65527864.43175172 -65527864.43175172 79.88702664976901 0.16494721441875757 0.0884503379448236
13.929999999999993 1.1648191015042 -0.03704604725528098 0.015489864434823994 0.0006747353639577513 0.92795466048258 0.00014128362011019894 -0.00026146670988848666 -0.0016605969147587953 0.92489847410483 566669272.4770484 -299876079.2095414 -404690445.12485665 -43309464.331687994 -89512963.23478991 -89512963.23478991 79.89049236929638 0.16494721441875757 0.08845669048442964
14.128999999999992 1.1647587243289201 -0.03781865791564956 0.015828615958216784 0.0010824285677543581 0.928034719998865 8.198386962007428e-05 -0.0004375926235655216 -0.0017102049436293195 0.924915974550853 566953308.8400728 -276324414.94098735 -393201940.54007286 -80060526.86516993 -99429176.98498318 -99429176.98498318 79.8928511775841 0.16494721441875757 0.08846086810076527
14.327999999999992 1.16464742233144 -0.03877078843266716 0.016256066680477584 0.0015824813026036446 0.92809278365868 7.704601145825139e-05 -0.0006601717870209514 -0.0017195564991042396 0.924967515263696 557543977.0585136 -258747824.38110545 -378810695.9048343 -125486686.73748678 -101637575.87119849 -101637575.87119849 79.894637589697 0.16494912389260444 0.08846412316846529
14.526999999999992 1.16453612033396 -0.03972291894968476 0.016683517402738383 0.0020825340374529314 0.9281508473184951 7.21081532964285e-05 -0.0008827509504763813 -0.0017289080545791597 0.925019055976539 547451982.4665138 -240605666.9113631 -363787296.86103433 -170161599.619841 -103541959.45225081 -103541959.45225081 79.89648975391934 0.1649608863150352 0.0884674624370157
14.725999999999992 1.16442481833648 -0.04067504946670236 0.017110968124999182 0.002582586772302218 0.92820891097831 6.71702951346056e-05 -0.001105330113931811 -0.0017382596100540795 0.925070596689382 536359925.0951789 -221850515.26112384 -347862402.66096556 -213549942.47742677 -104955830.14578548 -104955830.14578548 79.89835135993395 0.16498780283089304 0.08847108779033938
14.924999999999992 1.164313516339 -0.04162717998371996 0.01753841884725998 0.0030826395071515043 0.928266974638125 6.22324369727827e-05 -0.001327909277387241 -0.0017476111655289996 0.925122137402225 523165312.20346665 -202177680.67077345 -330236702.37206566 -254172267.8080276 -105554412.42819254 -105554412.42819254 79.90030676862244 0.16504532898638163 0.08847500336165964
15.123999999999992 1.16468950694992 -0.0419993089928776 0.017708082696329997 0.0036844368786359723 0.92798229287518 0.00023816309354217607 -0.001589535382530388 -0.0015455671193426502 0.925188274130144 584672544.8239319 -231325832.53490025 -304162715.1904395 -241899166.31697014 -75253048.8750867 -75253048.8750867 79.90168094689996 0.16506644892666794 0.08848510915392696
15.322999999999992 1.16536023099334 -0.042020630638410196 0.017721827065647497 0.004347773344859472 0.927490305412985 0.0005234900291828888 -0.0018747785895007877 -0.0012156628302159944 0.925263239092988 686060980.9858807 -287574203.0444221 -270662303.66906154 -194233531.39793167 -25491424.882387277 -25491424.882387277 79.90276673816162 0.16511168950968455 0.08851346554202968
15.521999999999991 1.16603095503676 -0.0420419522839428 0.017735571434965 0.005011109811082971 0.92699831795079 0.0008088169648236016 -0.0021600217964711874 -0.0008857585410893385 0.925338204055832 770411727.7776443 -332668220.0358666 -231726241.28890023 -140309775.56502992 23183529.425096367 23183529.425096367 79.90434619992162 0.16528755590359734 0.08856846052324252
