(
(42    (1.0034272700210511 -0.00869622773983839 -0.006298436507028724 0.02152920544953002 0.9980645754108367 0.000574731871741274 0.01604075690727718 -2.3365160076987304e-05 0.9982297529194119))
(43    (1.0034974497183584 -0.008861507602424481 -0.006412728676234291 0.02211248710488816 0.9980163302604534 0.000572879550453395 0.016465900093942956 -4.4217515007424876e-05 0.9981949514653207))
(44    (1.0043750871612163 -0.008755620396067707 -0.00630350275534739 0.023098920993605082 0.9975461398180889 0.0005274360877124359 0.017211365190497346 -0.00012015600862412884 0.9977837185793016))
(45    (1.0052536862853871 -0.008649703298744942 -0.006194234231153344 0.024085742085429494 0.9970762749310207 0.00048213817154629107 0.01795711747653143 -0.00019595140800961447 0.9973727383035546))
(46    (1.0061332480048293 -0.008543756230956972 -0.006084923020985752 0.02507295114590794 0.9966067354728644 0.0004369857671950821 0.01870315753052364 -0.0002716037715609965 0.9969620105571223))
(47    (1.0070137732344182 -0.008437779113138899 -0.005975569042108603 0.02606054894114161 0.996137521317398 0.0003919788399932969 0.019449485931363666 -0.00034711315759699304 0.9965515352591534))
(48    (1.00789526288998 -0.00833177186567766 -0.005866172211727125 0.027048536237764233 0.9956686323385393 0.0003471173553768172 0.020196103258339468 -0.00042247962434405575 0.9961413123288941))
(49    (1.0087777178882906 -0.008225734408911958 -0.005756732446987718 0.028036913802942785 0.9952000684103458 0.00030240127888292646 0.020943010091137793 -0.0004977032299363814 0.9957313416856881))
(50    (1.009661139147079 -0.008119666663132198 -0.005647249664977882 0.02902568240437815 0.9947318294070148 0.0002578305761503175 0.021690207009844698 -0.0005727840324159225 0.9953216232489768))
(51    (1.0105455275850255 -0.00801356854858041 -0.005537723782726132 0.03001484281030578 0.9942639152028824 0.00021340521291910033 0.022437694594946038 -0.000647722089732398 0.9949121569382983))
(52    (1.011430884121765 -0.007907439985450192 -0.005428154717201938 0.031004395789496455 0.9937963256724256 0.00016912515503081024 0.023185473427328022 -0.0007225174597433055 0.994502942673289))
(53    (1.0123172096778865 -0.007801280893886627 -0.00531854238531564 0.03199434211125688 0.99332906069026 0.00012499036842841569 0.023933544088277695 -0.0007971702002139301 0.9940939803736824))
(54    (1.0132045051749343 -0.007695091193986224 -0.0052088867039183796 0.03298468254543043 0.9928621201311408 8.10008191563265e-05 0.024681907159483468 -0.0008716803688173568 0.9936852699593088))
(55    (1.0140927715354098 -0.007588870805796852 -0.005099187589802025 0.03397541786239782 0.9923955038699637 3.7156473360401936e-05 0.025430563223035642 -0.000946048023134481 0.9932768113500974))
(56    (1.0149820096827709 -0.007482619649317661 -0.00498944495969909 0.03496654883307776 0.9919292117817629 -6.5427027120411266e-06 0.026179512861426904 -0.0010202732206540186 0.9928686044660734))
(57    (1.015872220541434 -0.0073763376444990186 -0.004879658730282673 0.035958076228927716 0.9914632437417124 -5.0096742712219786e-05 0.02692875665755287 -0.0010943560187725168 0.9924606492273603))
(58    (1.0167634050367753 -0.0072700247112424485 -0.004769828818166373 0.03695000082194451 0.9909975996251261 -9.350568018987688e-05 0.027678295194712595 -0.0011682964747943656 0.9920529455541791))
